green_channel,red_channel,ir_channel,Anomaly,Anomaly_ch0,Anomaly_ch0
55508,34427,8726,0,1,1
55595,34386,8671,0,1,1
55666,34350,8604,0,1,1
55716,34321,8531,0,1,1
55771,34303,8461,0,1,1
55868,34294,8393,0,1,1
56001,34291,8329,0,1,1
56154,34293,8273,0,1,1
56345,34297,8224,0,1,1
56579,34299,8178,0,1,1
56809,34295,8137,0,1,1
56996,34285,8107,0,1,1
57153,34271,8082,0,1,1
57284,34251,8053,0,1,1
57355,34224,8023,0,1,1
57353,34186,8002,0,1,1
57312,34136,7985,0,1,1
57257,34084,7968,0,1,1
57177,34036,7955,0,1,1
57078,33994,7949,0,1,1
57002,33962,7940,0,1,1
56971,33935,7922,0,1,1
56963,33911,7896,0,1,1
56968,33893,7868,0,1,1
57010,33885,7835,0,1,1
57087,33886,7793,0,1,1
57175,33894,7750,0,1,1
57267,33902,7712,0,1,1
57376,33908,7678,0,1,1
57494,33911,7645,0,1,1
57594,33907,7618,0,1,1
57671,33897,7602,0,1,1
57740,33881,7589,0,1,1
57804,33860,7575,0,1,1
57844,33831,7563,0,1,1
57861,33797,7554,0,1,1
57886,33766,7542,0,1,1
57922,33746,7521,0,1,1
57950,33740,7492,0,1,1
57979,33744,7457,0,1,1
58035,33761,7412,0,1,1
58100,33789,7361,0,1,1
58143,33826,7308,0,1,1
58174,33873,7254,0,1,1
58211,33926,7201,0,1,1
58231,33972,7155,0,1,1
58214,34011,7120,0,1,1
58196,34040,7097,0,1,1
58211,34062,7079,0,1,1
58246,34076,7065,0,1,1
58288,34078,7052,0,1,1
58368,34071,7033,0,1,1
58499,34059,7003,0,1,1
58642,34047,6963,0,1,1
58771,34037,6916,0,1,1
58902,34029,6859,0,1,1
59037,34017,6790,0,1,1
59126,33999,6718,0,1,1
59149,33977,6651,0,1,1
59133,33949,6586,0,1,1
59085,33914,6522,0,1,1
58970,33872,6465,0,1,1
58788,33824,6419,0,1,1
58582,33775,6386,0,1,1
58377,33732,6364,0,1,1
58175,33698,6359,0,1,1
58001,33681,6371,0,1,1
57893,33684,6396,0,1,1
57848,33705,6433,0,1,1
57835,33739,6488,0,1,1
57848,33782,6562,0,1,1
57893,33835,6648,0,1,1
57942,33896,6745,0,1,1
57944,33963,6857,0,1,1
57879,34025,6988,0,1,1
57760,34081,7131,0,1,1
57596,34135,7277,0,1,1
57386,34186,7422,0,1,1
57155,34236,7561,0,1,1
56947,34286,7689,0,1,1
56778,34335,7798,0,1,1
56644,34381,7889,0,1,1
56563,34422,7961,0,1,1
56547,34456,8012,0,1,1
56561,34482,8043,0,1,1
56565,34498,8062,0,1,1
56563,34506,8075,0,1,1
56554,34511,8086,0,1,1
56502,34510,8105,0,1,1
56388,34503,8139,0,1,1
56241,34492,8185,0,1,1
56084,34483,8237,0,1,1
55906,34470,8297,0,1,1
55719,34455,8367,0,1,1
55580,34442,8446,0,1,1
55513,34431,8525,0,1,1
55496,34421,8601,0,1,1
55525,34415,8671,0,1,1
55629,34415,8731,0,1,1
55795,34428,8773,0,1,1
55961,34450,8799,0,1,1
56101,34479,8817,0,1,1
56234,34512,8831,0,1,1
56347,34547,8842,0,1,1
56397,34586,8856,0,1,1
56399,34630,8874,0,1,1
56404,34678,8894,0,1,1
56422,34724,8911,0,1,1
56432,34763,8924,0,1,1
56451,34794,8932,0,1,1
56520,34821,8933,0,1,1
56634,34842,8921,0,1,1
56757,34851,8895,0,1,1
56890,34847,8859,0,1,1
57053,34836,8815,0,1,1
57216,34822,8760,0,1,1
57326,34806,8703,0,1,1
57370,34790,8646,0,1,1
57362,34776,8587,0,1,1
57279,34764,8531,0,1,1
57096,34757,8483,0,1,1
56834,34756,8444,0,1,1
56534,34760,8410,0,1,1
56221,34762,8379,0,1,1
55919,34760,8356,0,1,1
55670,34750,8339,0,1,1
55506,34734,8323,0,1,1
55425,34712,8308,0,1,1
55423,34684,8297,0,1,1
55505,34656,8285,0,1,1
55670,34630,8265,0,1,1
55888,34606,8239,0,1,1
56130,34586,8211,0,1,1
56396,34570,8181,0,1,1
56676,34559,8141,0,1,1
56926,34555,8098,0,1,1
57122,34555,8062,0,1,1
57292,34559,8033,0,1,1
57452,34570,8010,0,1,1
57584,34582,7993,0,1,1
57694,34592,7983,0,1,1
57819,34596,7974,0,1,1
57972,34593,7958,0,1,1
58134,34583,7936,0,1,1
58313,34564,7908,0,1,1
58539,34537,7869,0,1,1
58791,34501,7819,0,1,1
59003,34455,7762,0,1,1
59162,34402,7699,0,1,1
59293,34349,7630,0,1,1
59372,34309,7553,0,1,1
59359,34281,7477,0,1,1
59284,34263,7406,0,1,1
59206,34251,7340,0,1,1
59138,34240,7279,0,1,1
59082,34230,7229,0,1,1
59092,34221,7186,0,1,1
59218,34214,7146,0,1,1
59425,34208,7105,0,1,1
59662,34197,7067,0,1,1
59944,34178,7026,0,1,1
60281,34152,6971,0,1,1
60614,34120,6906,0,1,1
60884,34086,6839,0,1,1
61095,34056,6768,0,1,1
61245,34032,6686,0,1,1
61281,34009,6598,0,1,1
61184,33986,6519,0,1,1
61012,33967,6449,0,1,1
60817,33954,6387,0,1,1
60591,33948,6337,0,1,1
60348,33945,6307,0,1,1
60155,33939,6295,0,1,1
60042,33930,6293,0,1,1
59967,33918,6299,0,1,1
59911,33906,6312,0,1,1
59907,33893,6321,0,1,1
59946,33880,6319,0,1,1
59961,33863,6306,0,1,1
59936,33844,6285,0,1,1
59910,33825,6250,0,1,1
59877,33804,6195,0,1,1
59798,33778,6130,0,1,1
59679,33746,6064,0,1,1
59565,33712,5997,0,1,1
59454,33682,5928,0,1,1
59314,33659,5860,0,1,1
59152,33645,5798,0,1,1
59000,33640,5741,0,1,1
58845,33637,5689,0,1,1
58649,33632,5647,0,1,1
58419,33629,5616,0,1,1
58190,33627,5587,0,1,1
57962,33625,5557,0,1,1
57720,33618,5531,0,1,1
57492,33605,5508,0,1,1
57312,33592,5480,0,1,1
57163,33585,5446,0,1,1
57023,33583,5409,0,1,1
56919,33591,5371,0,1,1
56870,33612,5334,0,1,1
56835,33650,5311,0,1,1
56786,33707,5311,0,1,1
56745,33786,5337,0,1,1
56713,33883,5388,0,1,1
56652,33996,5464,0,1,1
56541,34118,5566,0,1,1
56398,34239,5687,0,1,1
56234,34350,5821,0,1,1
56029,34446,5968,0,1,1
55789,34527,6127,0,1,1
55560,34594,6284,0,1,1
55374,34646,6430,0,1,1
55225,34684,6564,0,1,1
55123,34707,6686,0,1,1
55093,34719,6795,0,1,1
55126,34726,6886,0,1,1
55189,34732,6963,0,1,1
55262,34734,7033,0,1,1
55345,34738,7096,0,1,1
55413,34744,7149,0,1,1
55427,34749,7196,0,1,1
55383,34755,7242,0,1,1
55310,34764,7283,0,1,1
55223,34773,7316,0,1,1
55117,34778,7344,0,1,1
55019,34777,7367,0,1,1
54965,34774,7385,0,1,1
54954,34776,7396,0,1,1
54958,34782,7402,0,1,1
54999,34791,7401,0,1,1
55098,34802,7394,0,1,1
55208,34812,7384,0,1,1
55273,34818,7372,0,1,1
55307,34819,7361,0,1,1
55323,34817,7353,0,1,1
55291,34812,7348,0,1,1
55193,34803,7343,0,1,1
55068,34794,7338,0,1,1
54953,34789,7334,0,1,1
54853,34791,7334,0,1,1
54767,34799,7337,0,1,1
54728,34811,7341,0,1,1
54753,34830,7344,0,1,1
54817,34853,7343,0,1,1
54889,34875,7338,0,1,1
54969,34889,7332,0,1,1
55046,34892,7323,0,1,1
55082,34882,7306,0,1,1
55053,34863,7283,0,1,1
54978,34840,7258,0,1,1
54878,34815,7233,0,1,1
54752,34797,7202,0,1,1
54611,34790,7166,0,1,1
54494,34796,7132,0,1,1
54415,34816,7098,0,1,1
54361,34842,7058,0,1,1
54345,34873,7013,0,1,1
54396,34908,6970,0,1,1
54502,34938,6932,0,1,1
54610,34956,6896,0,0,1
54716,34957,6863,0,0,1
54850,34940,6840,0,0,1
54988,34912,6828,0,0,1
55067,34878,6824,0,0,1
55087,34840,6828,0,0,1
55076,34799,6839,0,0,1
55018,34759,6852,0,0,1
54896,34724,6864,0,0,1
54755,34698,6879,0,0,1
54643,34682,6891,0,0,1
54557,34672,6893,0,0,1
54494,34663,6883,0,0,1
54495,34655,6865,0,0,1
54591,34647,6838,0,0,1
54750,34642,6799,0,0,1
54938,34635,6753,0,0,1
55162,34624,6706,0,0,1
55416,34611,6656,0,0,1
55656,34594,6607,0,0,1
55847,34574,6561,0,0,1
55993,34553,6523,0,0,1
56100,34532,6489,0,0,1
56153,34511,6454,0,0,1
56151,34489,6420,0,0,1
56122,34463,6386,0,0,1
56087,34434,6348,0,0,1
56042,34408,6306,0,0,1
55985,34386,6267,0,0,1
55936,34365,6231,0,0,1
55903,34339,6194,0,0,1
55867,34306,6157,0,0,1
55830,34268,6128,0,0,1
55816,34231,6105,0,0,1
55817,34191,6089,0,0,1
55795,34148,6079,0,0,1
55752,34101,6074,0,0,1
55716,34054,6069,0,0,1
55681,34009,6063,0,0,1
55609,33968,6053,0,0,1
55501,33927,6040,0,0,1
55390,33887,6024,0,0,1
55281,33854,6003,0,0,1
55161,33827,5975,0,0,1
55053,33804,5945,0,0,1
54991,33782,5918,0,0,1
54960,33761,5899,0,0,1
54935,33741,5888,0,0,1
54928,33724,5888,0,0,1
54958,33706,5894,0,0,1
55006,33683,5896,0,0,1
55037,33655,5892,0,0,1
55059,33625,5886,0,0,1
55084,33595,5878,0,0,1
55092,33561,5862,0,0,1
55068,33516,5837,0,0,1
55026,33462,5803,0,0,1
54977,33407,5758,0,0,1
54905,33355,5702,0,0,1
54803,33308,5640,0,0,1
54699,33270,5576,0,0,1
54612,33247,5514,0,0,1
54527,33237,5451,0,0,1
54433,33237,5390,0,0,1
54341,33255,5336,0,0,1
54256,33297,5291,0,0,1
54164,33361,5253,0,0,1
54059,33441,5222,0,0,1
53963,33532,5203,0,0,1
53888,33631,5193,0,0,1
53816,33735,5188,0,0,1
53747,33841,5188,0,0,1
53713,33945,5190,0,0,1
53719,34044,5192,0,0,1
53737,34134,5192,0,0,1
53769,34217,5192,0,0,1
53842,34293,5192,0,0,1
53940,34365,5191,0,0,1
54014,34432,5196,0,0,1
54055,34490,5214,0,0,1
54076,34538,5249,0,0,1
54049,34580,5304,0,0,1
53940,34619,5381,0,0,1
53768,34654,5484,0,0,1
53574,34685,5616,0,0,1
53362,34708,5775,0,0,1
53132,34719,5959,0,0,1
52922,34716,6165,0,0,1
52769,34704,6386,0,0,1
52678,34692,6612,0,0,1
52636,34684,6841,0,0,1
52642,34679,7069,0,0,1
52694,34675,7284,0,0,1
52773,34674,7474,0,0,1
52853,34679,7640,0,0,1
52935,34690,7785,0,0,1
53020,34708,7910,0,0,1
53079,34726,8016,0,0,1
53098,34744,8111,0,0,1
53095,34763,8199,0,0,1
53084,34782,8280,0,0,1
53048,34802,8357,0,0,1
52993,34821,8432,0,0,1
52951,34839,8500,0,0,1
52930,34856,8556,0,0,1
52900,34870,8603,0,0,1
52856,34877,8645,0,0,1
52820,34876,8681,0,0,1
52786,34868,8707,0,0,1
52720,34849,8723,0,0,1
52621,34818,8735,0,0,1
52520,34779,8745,0,0,1
52415,34735,8753,0,0,1
52285,34691,8761,0,0,1
52146,34647,8774,0,0,1
52038,34606,8787,0,0,1
51967,34574,8794,0,0,1
51919,34550,8801,0,0,1
51905,34533,8811,0,0,1
51939,34525,8823,0,0,1
52004,34522,8831,0,0,1
52074,34523,8834,0,0,1
52148,34525,8833,0,0,1
52228,34524,8826,0,0,1
52300,34522,8809,0,0,1
52349,34519,8783,0,0,1
52381,34516,8748,0,0,1
52405,34509,8697,0,0,1
52411,34498,8635,0,0,1
52383,34481,8569,0,0,1
52325,34458,8503,0,0,1
52248,34437,8434,0,0,1
52153,34418,8364,0,0,1
52045,34399,8302,0,0,1
51958,34382,8245,0,0,1
51916,34365,8186,0,0,1
51912,34345,8131,0,0,1
51941,34318,8082,0,0,1
52013,34282,8035,0,0,1
52114,34241,7985,0,0,1
52212,34196,7934,0,0,1
52292,34142,7887,0,0,1
52368,34078,7843,0,0,1
52440,34012,7795,0,0,1
52489,33946,7743,0,0,1
52520,33882,7696,0,0,1
52564,33821,7657,0,0,1
52631,33762,7621,0,0,1
52705,33706,7589,0,0,1
52796,33659,7563,0,0,1
52934,33618,7542,0,0,1
53109,33583,7528,0,0,1
53281,33554,7519,0,0,1
53444,33528,7514,0,0,1
53614,33512,7511,0,0,1
53772,33504,7507,0,0,1
53879,33500,7501,0,0,1
53938,33502,7494,0,0,1
53976,33512,7486,0,0,1
53991,33526,7473,0,0,1
53979,33538,7454,0,0,1
53969,33544,7434,0,0,1
53996,33543,7415,0,0,1
54045,33540,7396,0,0,1
54095,33533,7379,0,0,1
54166,33517,7365,0,0,1
54270,33494,7355,0,0,1
54376,33463,7343,0,0,1
54456,33425,7325,0,0,1
54525,33388,7307,0,0,1
54604,33359,7292,0,0,1
54683,33340,7269,0,0,1
54761,33329,7236,0,0,1
54854,33324,7200,0,0,1
54971,33327,7165,0,0,1
55098,33333,7124,0,0,1
55219,33337,7076,0,0,1
55340,33335,7031,0,0,1
55464,33327,6992,0,0,1
55568,33309,6951,0,0,1
55642,33277,6904,0,0,1
55707,33238,6859,0,0,1
55773,33203,6813,0,0,1
55822,33170,6761,0,0,1
55858,33137,6703,0,0,1
55922,33102,6645,0,0,1
56026,33071,6589,0,0,1
56134,33046,6534,0,0,1
56233,33029,6484,0,0,1
56340,33023,6437,0,0,1
56445,33032,6389,0,0,1
56515,33055,6347,0,0,1
56550,33094,6313,0,0,1
56571,33148,6282,0,0,1
56567,33215,6247,0,0,1
56519,33291,6206,0,0,1
56447,33369,6160,0,0,1
56379,33449,6109,0,0,1
56317,33530,6049,0,0,1
56251,33613,5985,0,0,1
56194,33695,5917,0,0,1
56171,33779,5844,0,0,1
56176,33863,5767,0,0,1
56187,33943,5698,0,0,1
56209,34023,5638,0,0,1
56250,34103,5581,0,0,1
56279,34181,5529,0,0,1
56267,34252,5489,0,0,1
56229,34314,5467,0,0,1
56186,34362,5458,0,0,1
56121,34400,5462,0,0,1
56025,34429,5482,0,0,1
55936,34445,5513,0,0,1
55879,34449,5545,0,0,1
55842,34449,5584,0,0,1
55823,34444,5637,0,0,1
55839,34441,5700,0,0,1
55894,34447,5770,0,0,1
55962,34463,5847,0,0,1
56030,34483,5937,0,0,1
56103,34504,6045,0,0,1
56180,34530,6165,0,0,1
56231,34563,6292,0,0,1
56241,34600,6426,0,0,1
56226,34639,6568,0,0,1
56188,34679,6712,0,0,1
56121,34721,6852,0,0,1
56036,34762,6988,0,0,1
55968,34801,7120,0,0,1
55922,34834,7241,0,0,1
55880,34859,7345,0,0,1
55855,34878,7436,0,0,1
55877,34889,7520,0,0,1
55930,34892,7596,0,0,1
55978,34889,7661,0,0,1
56031,34879,7720,0,0,1
56103,34860,7776,0,0,1
56161,34834,7826,0,0,1
56160,34801,7866,0,0,1
56105,34761,7904,0,0,1
56020,34718,7945,0,0,1
55895,34673,7986,0,0,1
55715,34629,8027,0,0,1
55498,34583,8074,0,0,1
55279,34537,8130,0,0,1
55075,34495,8189,0,0,1
54890,34463,8249,0,0,1
54749,34437,8317,0,0,1
54669,34419,8386,0,0,1
54634,34408,8443,0,0,1
54630,34406,8489,0,0,1
54664,34408,8527,0,0,1
54725,34410,8552,0,0,1
54769,34408,8562,0,0,1
54772,34400,8560,0,0,1
54753,34387,8551,0,0,1
54712,34373,8532,0,0,1
54615,34354,8507,0,0,1
54455,34323,8481,0,0,1
54266,34282,8453,0,0,1
54064,34236,8416,0,0,1
53842,34191,8375,0,0,1
53617,34147,8336,0,0,1
53428,34102,8300,0,0,1
53292,34065,8264,0,0,1
53204,34040,8223,0,0,1
53171,34024,8180,0,0,1
53210,34015,8138,0,0,1
53309,34012,8094,0,0,1
53429,34005,8048,0,0,1
53554,33989,8008,0,0,1
53688,33966,7977,0,0,1
53793,33941,7955,0,0,1
53829,33913,7941,0,0,1
53804,33879,7936,0,0,1
53748,33843,7947,0,0,1
53649,33815,7968,0,0,1
53498,33801,7990,0,0,1
53331,33803,8015,0,0,1
53191,33821,8044,0,0,1
53080,33849,8067,0,0,1
52987,33878,8076,0,0,1
52930,33910,8073,0,0,1
52922,33944,8061,0,0,1
52939,33973,8037,0,0,1
52957,33991,8001,0,0,1
52984,33991,7960,0,0,1
53026,33971,7916,0,0,1
53064,33938,7864,0,0,1
53078,33894,7810,0,0,1
53083,33844,7768,0,0,1
53089,33800,7739,0,0,1
53079,33766,7712,0,0,1
53045,33739,7685,0,0,1
53014,33720,7667,0,0,1
53003,33712,7657,0,0,1
52996,33710,7645,0,0,1
52984,33711,7628,0,0,1
53000,33711,7612,0,0,1
53055,33708,7597,0,0,1
53127,33701,7576,0,0,1
53217,33689,7551,0,0,1
53355,33672,7522,0,0,1
53533,33653,7492,0,0,1
53711,33636,7454,0,0,1
53878,33621,7411,0,0,1
54055,33609,7363,0,0,1
54235,33600,7311,0,0,1
54394,33589,7258,0,0,1
54538,33575,7203,0,0,1
54685,33563,7153,0,0,1
54824,33554,7110,0,0,1
54930,33544,7076,0,0,1
54999,33523,7051,0,0,1
55045,33492,7029,0,0,1
55064,33461,7006,0,0,1
55047,33438,6985,0,0,1
55010,33419,6968,0,0,1
54986,33402,6952,0,0,1
54971,33388,6931,0,0,1
54962,33379,6909,0,0,1
54995,33377,6889,0,0,1
55096,33382,6868,0,0,1
55237,33393,6849,0,0,1
55383,33409,6834,0,0,1
55542,33434,6823,0,0,1
55714,33472,6812,0,0,1
55855,33523,6799,0,0,1
55937,33589,6789,0,0,1
55975,33668,6784,0,0,1
55982,33755,6785,0,0,1
55940,33845,6779,0,0,1
55853,33935,6765,0,0,1
55752,34029,6750,0,0,1
55665,34128,6737,0,0,1
55587,34232,6713,0,0,1
55520,34332,6677,0,0,1
55486,34423,6640,0,0,1
55489,34508,6600,0,0,1
55502,34589,6552,0,0,1
55513,34661,6499,0,0,1
55532,34722,6447,0,0,1
55545,34772,6400,0,0,1
55519,34809,6359,0,0,1
55452,34827,6331,0,0,1
55376,34827,6317,0,0,1
55292,34815,6316,0,0,1
55173,34792,6333,0,0,1
55038,34757,6374,0,0,1
54928,34712,6437,0,0,1
54837,34660,6517,0,0,1
54746,34609,6614,0,0,1
54678,34562,6729,0,0,1
54658,34522,6857,0,0,1
54667,34501,6991,0,0,1
54674,34502,7123,0,0,1
54687,34530,7254,0,0,1
54722,34580,7384,0,0,1
54755,34641,7509,0,0,1
54765,34707,7628,0,0,1
54761,34770,7746,0,0,1
54756,34826,7870,0,0,1
54739,34879,7994,0,0,1
54704,34930,8115,0,0,1
54656,34973,8241,0,0,1
54596,35005,8372,0,0,1
54511,35032,8492,0,0,1
54399,35049,8593,0,0,1
54275,35058,8681,0,0,1
54148,35060,8759,0,0,1
54008,35051,8821,0,0,1
53859,35029,8868,0,0,1
53731,35001,8900,0,0,1
53636,34971,8915,0,0,1
53555,34950,8919,0,0,1
53487,34940,8918,0,0,1
53449,34939,8916,0,0,1
53434,34946,8912,0,0,1
53410,34960,8909,0,0,1
53372,34979,8919,0,0,1
53346,34998,8939,0,0,1
53319,35014,8967,0,0,1
53257,35023,9007,0,0,1
53177,35022,9059,0,0,1
53113,35015,9117,0,0,1
53056,35004,9177,0,0,1
52984,34988,9233,0,0,1
52917,34967,9281,0,0,1
52886,34943,9320,0,0,1
52885,34914,9346,0,0,1
52892,34884,9357,0,0,1
52908,34856,9353,0,0,1
52942,34829,9331,0,0,1
52977,34807,9288,0,0,1
52988,34792,9230,0,0,1
52973,34784,9165,0,0,1
52947,34785,9099,0,0,1
52904,34795,9035,0,0,1
52834,34811,8973,0,0,1
52758,34828,8921,0,0,1
52701,34841,8881,0,0,1
52656,34852,8853,0,0,1
52618,34863,8832,0,0,1
52618,34865,8822,0,0,1
52665,34855,8822,0,0,1
52726,34833,8817,0,0,1
