green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch0
56562,27127,37773,0,0
56533,27113,37767,0,0
56508,27096,37754,0,0
56483,27072,37732,0,0
56457,27044,37702,0,0
56434,27020,37672,0,0
56411,26998,37640,0,0
56387,26973,37603,0,0
56353,26944,37557,0,0
56306,26911,37500,0,0
56244,26871,37433,0,0
56168,26822,37355,0,0
56080,26766,37272,0,0
55985,26704,37188,0,0
55884,26637,37099,0,0
55773,26561,36996,0,0
55653,26482,36882,0,0
55534,26405,36769,0,0
55411,26324,36656,0,0
55280,26237,36541,0,0
55145,26145,36422,0,0
55008,26049,36298,0,0
54870,25951,36168,0,0
54732,25855,36034,0,0
54594,25760,35905,0,0
54451,25663,35778,0,0
54297,25559,35648,0,0
54130,25446,35510,0,0
53954,25328,35364,0,0
53779,25207,35216,0,0
53613,25088,35069,0,0
53452,24972,34925,0,0
53292,24862,34785,0,0
53136,24756,34649,0,0
52987,24653,34513,0,0
52839,24551,34378,0,0
52697,24457,34251,0,0
52569,24376,34133,0,0
52454,24300,34018,0,0
52347,24226,33907,0,0
52248,24160,33805,0,0
52158,24104,33711,0,0
52079,24053,33619,0,0
52011,24006,33531,0,0
51949,23963,33447,0,0
51890,23920,33364,0,0
51828,23873,33278,0,0
51765,23828,33198,0,0
51701,23784,33127,0,0
51635,23740,33060,0,0
51566,23694,32993,0,0
51493,23643,32924,0,0
51411,23586,32847,0,0
51320,23523,32761,0,0
51228,23459,32670,0,0
51143,23396,32584,0,0
51069,23340,32508,0,0
51004,23290,32438,0,0
50939,23240,32366,0,0
50879,23192,32294,0,0
50833,23153,32232,0,0
50802,23125,32179,0,0
50777,23103,32133,0,0
50755,23082,32086,0,0
50736,23061,32036,0,0
50715,23039,31981,0,0
50687,23010,31921,0,0
50655,22977,31864,0,0
50623,22948,31815,0,0
50583,22919,31764,0,0
50530,22884,31703,0,0
50467,22846,31640,0,0
50396,22800,31573,0,0
50312,22743,31498,0,0
50218,22679,31416,0,0
50124,22613,31333,0,0
50039,22544,31250,0,0
49955,22472,31163,0,0
49871,22401,31071,0,0
49791,22331,30975,0,0
49718,22265,30879,0,0
49655,22202,30782,0,0
49603,22147,30689,0,0
49561,22106,30609,0,0
49527,22077,30534,0,0
49500,22058,30461,0,0
49486,22052,30400,0,0
49495,22063,30363,0,0
49533,22097,30359,0,0
49601,22152,30390,0,0
49695,22227,30455,0,0
49820,22326,30563,0,0
49979,22453,30715,0,0
50174,22611,30913,0,0
50406,22798,31161,0,0
50675,23012,31461,0,0
50975,23246,31810,0,0
51299,23496,32197,0,0
51643,23760,32615,0,0
52014,24044,33063,0,0
52414,24344,33535,0,0
52842,24656,34028,0,0
53300,24986,34543,0,0
53780,25331,35072,0,0
54260,25681,35598,0,0
54729,26024,36111,0,0
55181,26359,36606,0,0
55613,26681,37079,0,0
56013,26977,37515,0,0
56378,27244,37904,0,0
56708,27483,38246,0,0
57004,27691,38543,0,0
57253,27864,38795,0,0
57453,28003,39001,0,0
57613,28116,39166,0,0
57741,28207,39298,0,0
57832,28269,39395,0,0
57889,28306,39459,0,0
57923,28327,39498,0,0
57935,28332,39515,0,0
57926,28324,39517,0,0
57904,28305,39504,0,0
57875,28280,39482,0,0
57844,28256,39456,0,0
57810,28231,39427,0,0
57776,28209,39401,0,0
57749,28198,39389,0,0
57734,28199,39393,0,0
57731,28207,39407,0,0
57741,28222,39430,0,0
57768,28249,39459,0,0
57809,28283,39488,0,0
57862,28321,39519,0,0
57926,28361,39551,0,0
57991,28402,39585,0,0
58041,28436,39611,0,0
58067,28454,39621,0,0
58069,28454,39617,0,0
58048,28441,39603,0,0
58005,28413,39575,0,0
57949,28372,39530,0,0
57888,28320,39467,0,0
57824,28265,39393,0,0
57760,28214,39312,0,0
57703,28171,39229,0,0
57657,28140,39151,0,0
57622,28120,39081,0,0
57591,28104,39017,0,0
57557,28083,38952,0,0
57527,28057,38890,0,0
57500,28030,38834,0,0
57465,27998,38783,0,0
57418,27961,38736,0,0
57365,27925,38699,0,0
57303,27887,38676,0,0
57231,27850,38659,0,0
57155,27819,38645,0,0
57081,27793,38633,0,0
57017,27770,38625,0,0
56966,27754,38624,0,0
56931,27753,38633,0,0
56919,27768,38653,0,0
56939,27798,38679,0,0
56987,27836,38705,0,0
57062,27882,38733,0,0
57158,27939,38771,0,0
57264,28000,38812,0,0
57369,28058,38851,0,0
57468,28105,38885,0,0
57554,28143,38914,0,0
57617,28172,38932,0,0
57654,28187,38935,0,0
57664,28186,38920,0,0
57654,28172,38891,0,0
57629,28151,38853,0,0
57587,28124,38803,0,0
57530,28090,38741,0,0
57464,28049,38669,0,0
57389,27996,38583,0,0
57304,27933,38485,0,0
57213,27864,38383,0,0
57117,27793,38284,0,0
57013,27719,38179,0,0
56901,27637,38061,0,0
56788,27550,37937,0,0
56676,27460,37814,0,0
56559,27372,37695,0,0
56437,27285,37578,0,0
56316,27199,37461,0,0
56198,27112,37347,0,0
56076,27025,37233,0,0
55950,26936,37115,0,0
55823,26844,36995,0,0
55693,26747,36872,0,0
55555,26642,36741,0,0
55402,26532,36605,0,0
55239,26421,36466,0,0
55073,26313,36329,0,0
54909,26208,36198,0,0
54754,26108,36072,0,0
54615,26016,35951,0,0
54493,25933,35837,0,0
54390,25859,35732,0,0
54303,25793,35632,0,0
54227,25733,35535,0,0
54156,25675,35443,0,0
54088,25621,35359,0,0
54022,25572,35279,0,0
53955,25526,35202,0,0
53886,25478,35121,0,0
53808,25419,35033,0,0
53715,25351,34942,0,0
53613,25280,34852,0,0
53503,25206,34758,0,0
53387,25124,34656,0,0
53263,25036,34549,0,0
53135,24948,34445,0,0
53007,24863,34345,0,0
52885,24786,34250,0,0
52778,24720,34161,0,0
52694,24670,34083,0,0
52631,24635,34011,0,0
52581,24604,33942,0,0
52542,24575,33880,0,0
52515,24551,33823,0,0
52494,24529,33770,0,0
52472,24505,33724,0,0
52446,24479,33682,0,0
52408,24450,33636,0,0
52353,24411,33584,0,0
52274,24356,33520,0,0
52173,24286,33444,0,0
52058,24206,33357,0,0
51927,24112,33249,0,0
51778,24001,33120,0,0
51619,23882,32977,0,0
51462,23764,32832,0,0
51313,23656,32690,0,0
51180,23561,32557,0,0
51070,23484,32436,0,0
50981,23423,32329,0,0
50908,23370,32229,0,0
50853,23327,32140,0,0
50818,23299,32069,0,0
50802,23285,32015,0,0
50798,23281,31974,0,0
50810,23289,31950,0,0
50842,23311,31948,0,0
50895,23348,31971,0,0
50970,23404,32025,0,0
51073,23484,32120,0,0
51216,23598,32271,0,0
51402,23744,32478,0,0
51624,23916,32731,0,0
51880,24115,33033,0,0
52178,24340,33384,0,0
52516,24589,33775,0,0
52893,24865,34199,0,0
53308,25172,34657,0,0
53761,25505,35148,0,0
54246,25852,35657,0,0
54743,26203,36171,0,0
55246,26556,36686,0,0
55753,26912,37197,0,0
56250,27253,37686,0,0
56711,27568,38141,0,0
57131,27856,38563,0,0
57502,28115,38945,0,0
57812,28335,39276,0,0
58058,28511,39552,0,0
58242,28648,39779,0,0
58368,28750,39961,0,0
58442,28817,40100,0,0
58467,28850,40197,0,0
58450,28851,40252,0,0
58403,28829,40270,0,0
58330,28789,40256,0,0
58237,28734,40215,0,0
58142,28676,40159,0,0
58064,28624,40101,0,0
58009,28582,40050,0,0
57972,28555,40011,0,0
57956,28546,39984,0,0
57963,28552,39967,0,0
57989,28566,39960,0,0
58031,28590,39965,0,0
58089,28623,39975,0,0
58152,28655,39990,0,0
58211,28678,40007,0,0
58259,28695,40025,0,0
58288,28706,40045,0,0
58298,28710,40061,0,0
58290,28701,40066,0,0
58260,28677,40056,0,0
58210,28637,40023,0,0
58143,28588,39965,0,0
58057,28530,39889,0,0
57960,28469,39802,0,0
57858,28406,39705,0,0
57754,28339,39597,0,0
57654,28269,39484,0,0
57565,28202,39372,0,0
57493,28146,39268,0,0
57429,28096,39165,0,0
57363,28040,39060,0,0
57295,27980,38961,0,0
57234,27924,38878,0,0
57181,27878,38806,0,0
57134,27840,38738,0,0
57095,27810,38676,0,0
57070,27791,38628,0,0
57063,27781,38594,0,0
57069,27777,38569,0,0
57090,27785,38556,0,0
57124,27805,38563,0,0
57165,27831,38588,0,0
57212,27862,38625,0,0
57265,27898,38670,0,0
57327,27938,38715,0,0
57394,27980,38757,0,0
57462,28024,38798,0,0
57533,28071,38844,0,0
57607,28119,38893,0,0
57676,28160,38932,0,0
57733,28192,38959,0,0
57784,28220,38982,0,0
57825,28245,38999,0,0
57845,28256,39002,0,0
57838,28249,38987,0,0
57802,28225,38956,0,0
57737,28181,38909,0,0
57643,28119,38846,0,0
57522,28037,38764,0,0
57378,27940,38663,0,0
57214,27832,38544,0,0
57036,27714,38410,0,0
56849,27588,38266,0,0
56664,27462,38117,0,0
56493,27346,37969,0,0
56338,27241,37826,0,0
56203,27149,37695,0,0
56090,27073,37575,0,0
55991,27003,37457,0,0
55901,26933,37338,0,0
55819,26862,37223,0,0
55739,26791,37112,0,0
55655,26719,37002,0,0
55563,26645,36893,0,0
55469,26575,36788,0,0
55381,26512,36690,0,0
55297,26450,36593,0,0
55206,26383,36495,0,0
55108,26315,36395,0,0
55007,26253,36296,0,0
54906,26194,36198,0,0
54802,26130,36097,0,0
54696,26062,35996,0,0
54596,25997,35901,0,0
54497,25931,35807,0,0
54397,25860,35709,0,0
54308,25792,35613,0,0
54235,25733,35523,0,0
54172,25679,35435,0,0
54118,25629,35350,0,0
54075,25586,35275,0,0
54042,25549,35207,0,0
54013,25512,35143,0,0
53983,25476,35081,0,0
53949,25442,35021,0,0
53915,25413,34964,0,0
53877,25385,34910,0,0
53833,25351,34854,0,0
53785,25312,34797,0,0
53733,25266,34733,0,0
53676,25215,34660,0,0
53612,25160,34576,0,0
53545,25103,34489,0,0
53475,25043,34402,0,0
53402,24981,34314,0,0
53329,24928,34233,0,0
53266,24889,34163,0,0
53215,24858,34098,0,0
53174,24826,34030,0,0
53133,24792,33962,0,0
53086,24754,33891,0,0
53032,24708,33812,0,0
52973,24655,33725,0,0
52914,24601,33639,0,0
52857,24548,33557,0,0
52800,24496,33480,0,0
52744,24443,33408,0,0
52689,24392,33341,0,0
52639,24346,33283,0,0
52601,24310,33237,0,0
52583,24289,33209,0,0
52598,24291,33209,0,0
52657,24327,33252,0,0
52761,24398,33341,0,0
52913,24506,33477,0,0
53124,24655,33668,0,0
53392,24847,33920,0,0
53707,25072,34218,0,0
54064,25326,34560,0,0
54461,25611,34952,0,0
54886,25918,35389,0,0
55324,26238,35854,0,0
55767,26568,36339,0,0
56218,26904,36836,0,0
56666,27239,37334,0,0
57098,27563,37818,0,0
57504,27866,38279,0,0
57886,28148,38714,0,0
58237,28409,39114,0,0
58551,28640,39471,0,0
58825,28840,39787,0,0
59061,29012,40066,0,0
59260,29152,40302,0,0
59418,29265,40492,0,0
59535,29353,40643,0,0
59615,29414,40760,0,0
59664,29449,40844,0,0
59689,29463,40888,0,0
59696,29463,40898,0,0
59697,29458,40890,0,0
59694,29449,40872,0,0
59683,29435,40845,0,0
59664,29419,40814,0,0
59645,29407,40787,0,0
59623,29398,40768,0,0
59596,29388,40751,0,0
59567,29376,40733,0,0
59537,29364,40712,0,0
59498,29345,40684,0,0
59448,29314,40645,0,0
59385,29273,40603,0,0
59307,29225,40559,0,0
59217,29167,40506,0,0
59118,29098,40443,0,0
59015,29024,40375,0,0
58907,28950,40305,0,0
58796,28876,40230,0,0
58683,28797,40144,0,0
58565,28711,40041,0,0
58442,28622,39924,0,0
58312,28529,39795,0,0
58177,28432,39660,0,0
58049,28338,39531,0,0
57930,28252,39407,0,0
57815,28169,39280,0,0
57699,28089,39155,0,0
57588,28014,39037,0,0
57482,27941,38923,0,0
57368,27863,38805,0,0
57246,27780,38689,0,0
57127,27699,38584,0,0
57018,27624,38491,0,0
56919,27554,38409,0,0
56835,27496,38338,0,0
56770,27454,38282,0,0
56723,27424,38240,0,0
56691,27406,38214,0,0
56675,27399,38203,0,0
56678,27401,38205,0,0
56697,27406,38213,0,0
56726,27417,38226,0,0
56759,27434,38244,0,0
56797,27456,38263,0,0
56840,27481,38279,0,0
56887,27506,38292,0,0
56932,27536,38308,0,0
56970,27572,38328,0,0
56997,27604,38344,0,0
57005,27624,38354,0,0
56989,27627,38355,0,0
56951,27614,38342,0,0
56889,27583,38308,0,0
56802,27536,38255,0,0
56695,27477,38189,0,0
56574,27407,38108,0,0
56438,27323,38005,0,0
56292,27226,37885,0,0
56141,27123,37751,0,0
55986,27017,37608,0,0
55827,26906,37460,0,0
55666,26794,37315,0,0
55512,26685,37173,0,0
55370,26583,37034,0,0
55241,26485,36896,0,0
55126,26392,36759,0,0
55022,26312,36629,0,0
54925,26245,36508,0,0
54831,26182,36390,0,0
54738,26118,36274,0,0
54648,26057,36160,0,0
54561,25995,36045,0,0
54471,25925,35926,0,0
54374,25848,35807,0,0
54273,25769,35695,0,0
54165,25689,35583,0,0
54046,25601,35467,0,0
53919,25507,35346,0,0
53791,25413,35225,0,0
53666,25320,35105,0,0
53538,25228,34983,0,0
53407,25137,34858,0,0
53278,25052,34737,0,0
53154,24968,34619,0,0
53039,24886,34506,0,0
52940,24812,34406,0,0
52861,24754,34322,0,0
52798,24714,34251,0,0
52749,24688,34187,0,0
52718,24674,34130,0,0
52710,24672,34080,0,0
52719,24675,34032,0,0
52739,24677,33988,0,0
52770,24680,33952,0,0
52805,24686,33925,0,0
52832,24691,33901,0,0
52847,24690,33873,0,0
52847,24681,33844,0,0
52834,24661,33815,0,0
52806,24629,33774,0,0
52764,24586,33714,0,0
52718,24539,33644,0,0
52677,24494,33571,0,0
52643,24449,33496,0,0
52613,24405,33421,0,0
52594,24371,33356,0,0
52585,24349,33299,0,0
52578,24332,33246,0,0
52569,24314,33192,0,0
52554,24290,33136,0,0
52528,24257,33073,0,0
52488,24212,32997,0,0
52435,24158,32910,0,0
52375,24100,32819,0,0
52308,24044,32728,0,0
52227,23986,32638,0,0
52137,23927,32550,0,0
52046,23875,32473,0,0
51959,23830,32403,0,0
51882,23793,32343,0,0
51828,23771,32303,0,0
51813,23771,32294,0,0
51845,23804,32325,0,0
51930,23876,32409,0,0
52068,23988,32549,0,0
52257,24139,32739,0,0
52494,24325,32980,0,0
52778,24539,33273,0,0
53111,24785,33617,0,0
53493,25068,34010,0,0
53912,25376,34443,0,0
54353,25697,34900,0,0
54803,26022,35367,0,0
55255,26346,35839,0,0
55699,26661,36307,0,0
56120,26956,36762,0,0
56512,27233,37200,0,0
56876,27495,37617,0,0
57207,27732,37995,0,0
57497,27938,38331,0,0
57748,28119,38629,0,0
57964,28281,38892,0,0
58143,28417,39114,0,0
58290,28529,39298,0,0
58417,28627,39451,0,0
58529,28712,39577,0,0
58618,28779,39674,0,0
58684,28827,39746,0,0
58732,28869,39803,0,0
58771,28906,39846,0,0
58798,28929,39869,0,0
58811,28936,39871,0,0
58816,28934,39859,0,0
58813,28926,39834,0,0
58798,28907,39796,0,0
58771,28874,39749,0,0
58732,28834,39705,0,0
58678,28788,39663,0,0
58612,28740,39621,0,0
58538,28693,39576,0,0
58464,28650,39527,0,0
58391,28604,39472,0,0
58315,28551,39411,0,0
58232,28496,39350,0,0
58141,28444,39291,0,0
58045,28391,39227,0,0
57941,28335,39152,0,0
57833,28275,39069,0,0
57725,28213,38978,0,0
57624,28149,38880,0,0
57525,28081,38776,0,0
57426,28011,38668,0,0
57324,27939,38559,0,0
57217,27865,38444,0,0
57107,27786,38322,0,0
56997,27706,38203,0,0
56889,27628,38092,0,0
56783,27554,37985,0,0
56679,27486,37885,0,0
56585,27423,37794,0,0
56507,27371,37715,0,0
56442,27331,37649,0,0
56385,27298,37593,0,0
56340,27275,37549,0,0
56314,27263,37521,0,0
56306,27263,37510,0,0
56317,27276,37514,0,0
56349,27304,37532,0,0
56397,27343,37560,0,0
56453,27383,37591,0,0
56505,27417,37623,0,0
56554,27451,37654,0,0
56598,27485,37681,0,0
56629,27505,37698,0,0
56643,27506,37705,0,0
56643,27494,37703,0,0
56628,27475,37690,0,0
56598,27450,37663,0,0
56559,27423,37632,0,0
56513,27393,37596,0,0
56458,27355,37545,0,0
56392,27307,37476,0,0
56322,27257,37402,0,0
56255,27210,37329,0,0
56192,27162,37257,0,0
56128,27114,37180,0,0
56062,27064,37099,0,0
55998,27016,37017,0,0
55937,26970,36934,0,0
55872,26920,36843,0,0
55801,26863,36740,0,0
55726,26806,36631,0,0
55650,26750,36525,0,0
55565,26691,36419,0,0
55471,26625,36310,0,0
55374,26554,36199,0,0
55278,26478,36084,0,0
55179,26399,35964,0,0
55072,26317,35846,0,0
54963,26237,35734,0,0
54853,26157,35623,0,0
54736,26074,35506,0,0
54619,25992,35392,0,0
54507,25912,35279,0,0
54397,25828,35162,0,0
54284,25741,35043,0,0
54175,25657,34927,0,0
54076,25578,34815,0,0
53986,25505,34706,0,0
53906,25441,34600,0,0
53841,25390,34502,0,0
53789,25351,34413,0,0
53742,25315,34327,0,0
53698,25277,34245,0,0
53659,25241,34171,0,0
53616,25204,34102,0,0
53560,25157,34030,0,0
53489,25100,33952,0,0
53410,25038,33873,0,0
53323,24968,33792,0,0
53224,24888,33698,0,0
53119,24807,33597,0,0
53025,24740,33503,0,0
52946,24685,33418,0,0
52882,24635,33335,0,0
52833,24593,33258,0,0
52801,24564,33191,0,0
52781,24546,33132,0,0
52767,24530,33075,0,0
52751,24512,33020,0,0
52738,24497,32969,0,0
52727,24482,32918,0,0
52710,24462,32862,0,0
52689,24437,32808,0,0
52665,24410,32755,0,0
52634,24379,32696,0,0
52600,24342,32631,0,0
52564,24301,32564,0,0
52529,24257,32494,0,0
52490,24209,32422,0,0
52443,24151,32348,0,0
52392,24094,32280,0,0
52348,24048,32220,0,0
52311,24014,32169,0,0
52285,23994,32135,0,0
52284,23995,32131,0,0
52316,24024,32162,0,0
52387,24082,32226,0,0
52505,24171,32334,0,0
52676,24298,32494,0,0
52896,24458,32710,0,0
53156,24644,32972,0,0
53447,24853,33271,0,0
53770,25088,33606,0,0
54119,25347,33972,0,0
54488,25624,34362,0,0
54872,25913,34773,0,0
55269,26208,35200,0,0
55669,26502,35629,0,0
56062,26788,36049,0,0
56443,27063,36455,0,0
56812,27330,36848,0,0
57162,27584,37219,0,0
57481,27817,37558,0,0
57769,28024,37861,0,0
58029,28207,38127,0,0
58258,28363,38359,0,0
58451,28493,38553,0,0
58610,28603,38711,0,0
58743,28696,38839,0,0
58851,28769,38936,0,0
58931,28819,39005,0,0
58988,28853,39052,0,0
59023,28872,39075,0,0
59034,28874,39075,0,0
59024,28861,39063,0,0
59004,28845,39045,0,0
58980,28829,39025,0,0
58948,28807,38996,0,0
58906,28779,38954,0,0
58862,28752,38911,0,0
58823,28729,38872,0,0
58791,28706,38835,0,0
58765,28682,38799,0,0
58743,28658,38767,0,0
58729,28640,38740,0,0
58719,28628,38718,0,0
58708,28617,38694,0,0
58699,28605,38667,0,0
58685,28592,38637,0,0
58655,28572,38597,0,0
58609,28536,38546,0,0
58556,28492,38489,0,0
58502,28447,38427,0,0
58448,28401,38349,0,0
58392,28351,38259,0,0
58336,28299,38166,0,0
58280,28247,38078,0,0
58226,28198,37992,0,0
58178,28153,37910,0,0
58139,28114,37834,0,0
58106,28078,37764,0,0
58076,28044,37697,0,0
58050,28012,37635,0,0
58030,27984,37583,0,0
58018,27961,37542,0,0
58010,27943,37512,0,0
58010,27935,37495,0,0
58023,27944,37495,0,0
58044,27965,37506,0,0
58067,27988,37519,0,0
58089,28009,37538,0,0
58113,28030,37565,0,0
58133,28047,37591,0,0
58144,28056,37610,0,0
58152,28062,37621,0,0
58165,28069,37629,0,0
58178,28074,37636,0,0
58186,28072,37638,0,0
58193,28069,37637,0,0
58200,28070,37634,0,0
58204,28071,37626,0,0
58202,28066,37607,0,0
58190,28052,37575,0,0
58170,28027,37532,0,0
58141,27996,37482,0,0
58100,27957,37428,0,0
58046,27915,37372,0,0
57983,27866,37310,0,0
57909,27806,37232,0,0
57825,27740,37142,0,0
57739,27678,37048,0,0
57651,27620,36951,0,0
57558,27558,36851,0,0
57459,27489,36750,0,0
57354,27414,36644,0,0
57249,27337,36533,0,0
57144,27256,36413,0,0
57033,27170,36291,0,0
56923,27087,36174,0,0
56817,27011,36064,0,0
56707,26932,35952,0,0
56592,26849,35837,0,0
56482,26768,35728,0,0
56379,26692,35620,0,0
56282,26621,35509,0,0
56188,26553,35398,0,0
56102,26490,35297,0,0
56021,26431,35201,0,0
55938,26369,35099,0,0
55853,26303,34995,0,0
55767,26236,34898,0,0
55675,26166,34804,0,0
55580,26092,34707,0,0
55487,26014,34607,0,0
55399,25936,34504,0,0
55310,25858,34398,0,0
55211,25776,34289,0,0
55102,25690,34174,0,0
54990,25604,34058,0,0
54878,25518,33943,0,0
54768,25432,33832,0,0
54666,25352,33724,0,0
54573,25282,33618,0,0
54484,25218,33515,0,0
54395,25160,33420,0,0
54315,25109,33338,0,0
54248,25069,33271,0,0
54193,25034,33207,0,0
54139,24999,33139,0,0
54087,24960,33069,0,0
54033,24916,32999,0,0
53975,24868,32928,0,0
53908,24816,32855,0,0
53838,24762,32781,0,0
53771,24710,32706,0,0
53704,24655,32629,0,0
53634,24598,32548,0,0
53560,24538,32465,0,0
53483,24474,32376,0,0
53403,24401,32282,0,0
53325,24327,32192,0,0
53252,24260,32111,0,0
53179,24201,32037,0,0
53099,24143,31962,0,0
53016,24086,31884,0,0
52927,24023,31804,0,0
52832,23955,31721,0,0
52735,23884,31631,0,0
52636,23813,31533,0,0
52539,23745,31428,0,0
52446,23676,31321,0,0
52353,23604,31215,0,0
52256,23530,31110,0,0
52153,23453,31004,0,0
52046,23371,30893,0,0
51934,23286,30778,0,0
51824,23197,30661,0,0
51723,23110,30546,0,0
51630,23030,30439,0,0
51541,22953,30335,0,0
51463,22881,30234,0,0
51399,22819,30142,0,0
51346,22768,30060,0,0
51310,22732,29989,0,0
51306,22720,29943,0,0
51341,22741,29930,0,0
51411,22788,29952,0,0
51524,22867,30014,0,0
51691,22987,30131,0,0
51912,23147,30306,0,0
52179,23340,30535,0,0
52490,23564,30816,0,0
52847,23821,31151,0,0
53241,24104,31529,0,0
53656,24399,31936,0,0
54080,24702,32367,0,0
54505,25009,32817,0,0
54925,25316,33275,0,0
55333,25617,33731,0,0
55728,25909,34180,0,0
56111,26189,34615,0,0
56481,26451,35030,0,0
56829,26695,35423,0,0
57153,26923,35789,0,0
57458,27137,36125,0,0
57740,27335,36432,0,0
57999,27518,36709,0,0
58235,27685,36949,0,0
58446,27832,37152,0,0
58631,27959,37320,0,0
58790,28068,37460,0,0
58929,28165,37578,0,0
59047,28247,37679,0,0
59141,28311,37763,0,0
59211,28358,37824,0,0
59262,28393,37865,0,0
59301,28420,37898,0,0
59327,28437,37922,0,0
59338,28440,37933,0,0
59343,28439,37939,0,0
59352,28441,37949,0,0
59358,28444,37959,0,0
59360,28446,37968,0,0
59368,28452,37983,0,0
59389,28467,38005,0,0
59417,28488,38030,0,0
59444,28508,38049,0,0
59468,28525,38065,0,0
59490,28542,38080,0,0
59506,28558,38093,0,0
59514,28571,38100,0,0
59519,28580,38100,0,0
59520,28581,38093,0,0
59512,28570,38077,0,0
59495,28549,38047,0,0
59465,28516,38003,0,0
59419,28472,37945,0,0
59357,28417,37870,0,0
59286,28356,37786,0,0
59211,28296,37703,0,0
59134,28241,37624,0,0
59052,28189,37548,0,0
58967,28139,37476,0,0
58882,28090,37412,0,0
58800,28039,37348,0,0
58716,27986,37280,0,0
58633,27935,37216,0,0
58558,27889,37160,0,0
58496,27848,37109,0,0
58442,27809,37061,0,0
58400,27778,37022,0,0
58385,27764,37001,0,0
58397,27770,37001,0,0
58427,27788,37015,0,0
58472,27818,37033,0,0
58529,27855,37055,0,0
58585,27893,37074,0,0
58628,27923,37087,0,0
58661,27946,37101,0,0
58685,27965,37119,0,0
58694,27977,37135,0,0
58687,27980,37141,0,0
58667,27973,37137,0,0
58640,27959,37124,0,0
58609,27939,37102,0,0
58571,27914,37075,0,0
58528,27888,37044,0,0
58482,27859,37004,0,0
58430,27822,36948,0,0
58372,27778,36883,0,0
58320,27736,36819,0,0
58275,27702,36758,0,0
58228,27667,36692,0,0
58172,27625,36618,0,0
58109,27577,36546,0,0
58039,27526,36475,0,0
57954,27470,36394,0,0
57855,27407,36296,0,0
57746,27339,36188,0,0
57633,27262,36075,0,0
57519,27179,35959,0,0
57405,27095,35841,0,0
57298,27013,35727,0,0
57200,26933,35617,0,0
57102,26850,35505,0,0
57001,26766,35388,0,0
56905,26690,35272,0,0
56815,26618,35156,0,0
56730,26547,35040,0,0
56649,26477,34930,0,0
56571,26412,34830,0,0
56490,26353,34737,0,0
56403,26295,34643,0,0
56314,26238,34548,0,0
56229,26183,34461,0,0
56146,26129,34382,0,0
56062,26071,34302,0,0
55977,26012,34221,0,0
55899,25953,34139,0,0
55824,25893,34056,0,0
55746,25829,33965,0,0
55666,25764,33868,0,0
55589,25702,33777,0,0
55514,25643,33691,0,0
55439,25583,33605,0,0
55369,25526,33521,0,0
55304,25469,33436,0,0
55233,25405,33343,0,0
55151,25334,33244,0,0
55063,25260,33153,0,0
54974,25190,33073,0,0
54882,25119,32994,0,0
54793,25053,32914,0,0
54716,24997,32840,0,0
54650,24953,32773,0,0
54592,24912,32704,0,0
54541,24868,32629,0,0
54498,24831,32557,0,0
54465,24804,32493,0,0
54436,24779,32428,0,0
54408,24750,32359,0,0
54376,24720,32293,0,0
54332,24685,32222,0,0
54272,24638,32140,0,0
54197,24583,32053,0,0
54111,24523,31969,0,0
54010,24452,31881,0,0
53892,24367,31783,0,0
53767,24280,31681,0,0
53640,24193,31583,0,0
53507,24105,31486,0,0
