green_channel,red_channel,ir_channel,Anomaly,Anomaly_ch2
36141,10742,51367,0,0
36004,10582,51134,0,0
35864,10420,50894,0,0
35721,10260,50646,0,0
35580,10103,50395,0,0
35445,9948,50145,0,0
35315,9794,49897,0,0
35186,9643,49655,0,0
35060,9496,49423,0,0
34937,9353,49200,0,0
34817,9215,48983,0,0
34696,9079,48767,0,0
34577,8945,48554,0,0
34461,8812,48346,0,0
34348,8682,48146,0,0
34236,8555,47951,0,0
34126,8434,47764,0,0
34021,8321,47582,0,0
33922,8214,47405,0,0
33830,8112,47233,0,0
33743,8014,47068,0,0
33660,7919,46909,0,0
33578,7825,46755,0,0
33496,7732,46607,0,0
33416,7644,46467,0,0
33337,7560,46333,0,0
33261,7478,46205,0,0
33189,7399,46083,0,0
33123,7327,45963,0,0
33059,7259,45846,0,0
32999,7194,45734,0,0
32944,7133,45626,0,0
32891,7077,45525,0,0
32841,7025,45427,0,0
32793,6974,45332,0,0
32745,6922,45238,0,0
32694,6867,45143,0,0
32640,6809,45044,0,0
32585,6749,44943,0,0
32532,6688,44841,0,0
32477,6624,44736,0,0
32416,6557,44627,0,0
32349,6487,44511,0,0
32279,6413,44389,0,0
32210,6337,44261,0,0
32143,6254,44131,0,0
32072,6165,43995,0,0
31993,6075,43852,0,0
31913,5983,43702,0,0
31832,5888,43546,0,0
31746,5789,43383,0,0
31655,5688,43212,0,0
31560,5581,43035,0,0
31458,5466,42852,0,0
31352,5345,42662,0,0
31240,5221,42467,0,0
31123,5097,42267,0,0
31005,4974,42064,0,0
30893,4855,41867,0,0
30794,4749,41692,0,0
30722,4671,41562,0,0
30695,4640,41510,0,0
30733,4684,41577,0,0
30857,4826,41802,0,0
31087,5087,42220,0,0
31434,5484,42846,0,0
31899,6016,43677,0,0
32467,6669,44690,0,0
33121,7420,45849,0,0
33831,8235,47104,0,0
34566,9073,48400,0,0
35291,9898,49685,0,0
35980,10681,50914,0,0
36615,11401,52051,0,0
37181,12044,53072,0,0
37676,12603,53967,0,0
38098,13078,54732,0,0
38447,13467,55364,0,0
38725,13772,55868,0,0
38934,13997,56252,0,0
39080,14150,56524,0,0
39166,14235,56694,0,0
39200,14261,56771,0,0
39190,14237,56767,0,0
39138,14170,56691,0,0
39051,14068,56553,0,0
38937,13937,56365,0,0
38801,13783,56138,0,0
38649,13613,55880,0,0
38489,13431,55601,0,0
38325,13243,55313,0,0
38165,13056,55024,0,0
38010,12873,54738,0,0
37860,12697,54463,0,0
37720,12533,54205,0,0
37592,12383,53970,0,0
37475,12249,53758,0,0
37370,12131,53570,0,0
37279,12030,53408,0,0
37202,11945,53269,0,0
37136,11871,53149,0,0
37080,11805,53040,0,0
37027,11743,52937,0,0
36973,11681,52832,0,0
36911,11614,52719,0,0
36840,11535,52593,0,0
36760,11446,52452,0,0
36674,11351,52295,0,0
36580,11251,52127,0,0
36483,11146,51950,0,0
36388,11040,51772,0,0
36296,10936,51598,0,0
36209,10840,51435,0,0
36133,10757,51292,0,0
36072,10690,51174,0,0
36028,10641,51084,0,0
36000,10611,51023,0,0
35987,10599,50991,0,0
35989,10606,50988,0,0
36008,10628,51015,0,0
36041,10663,51068,0,0
36087,10709,51140,0,0
36141,10765,51224,0,0
36200,10826,51314,0,0
36259,10889,51406,0,0
36315,10950,51493,0,0
36365,11006,51574,0,0
36408,11052,51641,0,0
36442,11083,51691,0,0
36460,11098,51716,0,0
36460,11097,51715,0,0
36442,11077,51686,0,0
36408,11037,51631,0,0
36360,10981,51554,0,0
36300,10911,51453,0,0
36226,10827,51325,0,0
36139,10729,51172,0,0
36042,10619,50996,0,0
35936,10497,50802,0,0
35819,10363,50591,0,0
35693,10222,50363,0,0
35559,10073,50125,0,0
35418,9918,49879,0,0
35273,9758,49629,0,0
35125,9592,49371,0,0
34975,9421,49108,0,0
34823,9246,48840,0,0
34671,9070,48568,0,0
34520,8895,48299,0,0
34368,8722,48033,0,0
34216,8552,47772,0,0
34068,8385,47514,0,0
33925,8225,47262,0,0
33789,8074,47016,0,0
33656,7929,46778,0,0
33527,7787,46548,0,0
33403,7652,46331,0,0
33287,7524,46127,0,0
33177,7402,45931,0,0
33075,7286,45744,0,0
32979,7176,45567,0,0
32888,7070,45397,0,0
32798,6967,45233,0,0
32709,6868,45079,0,0
32623,6773,44934,0,0
32541,6684,44795,0,0
32463,6602,44660,0,0
32389,6523,44530,0,0
32321,6448,44406,0,0
32258,6378,44287,0,0
32199,6310,44170,0,0
32141,6241,44054,0,0
32083,6171,43939,0,0
32025,6101,43830,0,0
31968,6033,43726,0,0
31914,5968,43624,0,0
31861,5909,43520,0,0
31807,5851,43415,0,0
31754,5792,43304,0,0
31698,5728,43189,0,0
31636,5658,43070,0,0
31567,5583,42947,0,0
31493,5500,42818,0,0
31417,5412,42680,0,0
31338,5322,42537,0,0
31258,5230,42387,0,0
31176,5133,42234,0,0
31088,5034,42078,0,0
30995,4933,41920,0,0
30898,4831,41758,0,0
30799,4727,41591,0,0
30699,4625,41424,0,0
30603,4531,41268,0,0
30523,4456,41142,0,0
30471,4414,41069,0,0
30467,4426,41077,0,0
30533,4515,41204,0,0
30689,4702,41490,0,0
30953,5010,41967,0,0
31333,5449,42653,0,0
31827,6019,43540,0,0
32425,6703,44604,0,0
33103,7477,45806,0,0
33832,8308,47095,0,0
34582,9159,48415,0,0
35322,9995,49714,0,0
36026,10789,50951,0,0
36674,11519,52095,0,0
37253,12169,53126,0,0
37758,12734,54031,0,0
38190,13212,54805,0,0
38549,13606,55448,0,0
38836,13917,55967,0,0
39055,14151,56368,0,0
39212,14316,56658,0,0
39311,14421,56846,0,0
39358,14469,56945,0,0
39358,14466,56965,0,0
39320,14416,56910,0,0
39250,14329,56792,0,0
39153,14211,56623,0,0
39032,14068,56414,0,0
38894,13908,56178,0,0
38747,13734,55922,0,0
38597,13555,55657,0,0
38447,13377,55389,0,0
38299,13204,55125,0,0
38157,13042,54871,0,0
38023,12893,54634,0,0
37899,12759,54416,0,0
37790,12640,54222,0,0
37696,12541,54054,0,0
37619,12459,53911,0,0
37557,12392,53790,0,0
37504,12334,53689,0,0
37462,12283,53603,0,0
37425,12236,53523,0,0
37388,12186,53444,0,0
37345,12129,53357,0,0
37292,12062,53256,0,0
37228,11985,53139,0,0
37157,11897,53005,0,0
37077,11802,52857,0,0
36987,11698,52697,0,0
36889,11587,52528,0,0
36789,11476,52354,0,0
36691,11371,52183,0,0
36600,11274,52023,0,0
36519,11189,51880,0,0
36452,11118,51759,0,0
36401,11063,51664,0,0
36366,11027,51597,0,0
36346,11010,51558,0,0
36343,11013,51548,0,0
36357,11033,51565,0,0
36385,11066,51604,0,0
36422,11110,51661,0,0
36462,11159,51729,0,0
36502,11210,51801,0,0
36542,11261,51873,0,0
36579,11309,51941,0,0
36612,11351,52001,0,0
36638,11381,52049,0,0
36656,11396,52078,0,0
36662,11397,52084,0,0
36655,11386,52063,0,0
36634,11360,52014,0,0
36596,11316,51936,0,0
36543,11257,51832,0,0
36477,11185,51706,0,0
36400,11100,51559,0,0
36313,11001,51392,0,0
36213,10891,51206,0,0
36103,10770,51007,0,0
35983,10637,50794,0,0
35854,10493,50568,0,0
35718,10342,50331,0,0
35580,10186,50091,0,0
35440,10027,49849,0,0
35300,9866,49607,0,0
35163,9702,49363,0,0
35027,9535,49116,0,0
34893,9369,48867,0,0
34759,9206,48618,0,0
34624,9048,48371,0,0
34489,8894,48128,0,0
34356,8742,47888,0,0
34227,8593,47653,0,0
34104,8450,47427,0,0
33989,8314,47210,0,0
33880,8184,47001,0,0
33773,8058,46797,0,0
33669,7939,46598,0,0
33566,7827,46411,0,0
33467,7720,46236,0,0
33371,7618,46072,0,0
33278,7520,45916,0,0
33189,7423,45769,0,0
33106,7329,45626,0,0
33025,7241,45487,0,0
32948,7160,45352,0,0
32872,7082,45223,0,0
32798,7005,45094,0,0
32726,6928,44962,0,0
32653,6850,44826,0,0
32579,6768,44688,0,0
32503,6683,44551,0,0
32428,6599,44415,0,0
32355,6518,44282,0,0
32285,6441,44152,0,0
32217,6366,44023,0,0
32147,6290,43896,0,0
32076,6213,43769,0,0
32006,6137,43643,0,0
31937,6061,43518,0,0
31868,5984,43389,0,0
31799,5905,43257,0,0
31728,5825,43122,0,0
31654,5740,42981,0,0
31576,5652,42838,0,0
31493,5560,42689,0,0
31408,5466,42536,0,0
31322,5371,42384,0,0
31238,5282,42241,0,0
31168,5209,42122,0,0
31127,5170,42053,0,0
31129,5182,42067,0,0
31197,5267,42202,0,0
31356,5453,42493,0,0
31623,5757,42972,0,0
32004,6190,43649,0,0
32496,6748,44518,0,0
33086,7418,45556,0,0
33751,8178,46729,0,0
34458,8989,47983,0,0
35178,9814,49262,0,0
35885,10620,50518,0,0
36557,11385,51713,0,0
37178,12089,52819,0,0
37732,12718,53815,0,0
38215,13265,54691,0,0
38624,13729,55441,0,0
38963,14115,56068,0,0
39235,14423,56573,0,0
39443,14654,56964,0,0
39590,14813,57247,0,0
39682,14908,57428,0,0
39726,14948,57519,0,0
39727,14938,57531,0,0
39690,14888,57477,0,0
39625,14807,57367,0,0
39535,14699,57211,0,0
39426,14569,57022,0,0
39304,14421,56810,0,0
39174,14267,56582,0,0
39043,14111,56346,0,0
38911,13957,56109,0,0
38785,13812,55879,0,0
38667,13679,55662,0,0
38563,13558,55464,0,0
38473,13447,55288,0,0
38392,13349,55131,0,0
38323,13265,54995,0,0
38265,13196,54882,0,0
38216,13140,54790,0,0
38173,13094,54716,0,0
38136,13056,54655,0,0
38103,13023,54599,0,0
38069,12991,54540,0,0
38028,12949,54470,0,0
37977,12894,54381,0,0
37918,12827,54269,0,0
37851,12747,54135,0,0
37773,12653,53982,0,0
37688,12550,53817,0,0
37598,12444,53647,0,0
37506,12338,53475,0,0
37412,12236,53307,0,0
37322,12139,53148,0,0
37239,12050,53001,0,0
37165,11970,52872,0,0
37102,11901,52764,0,0
37050,11844,52678,0,0
37013,11804,52615,0,0
36992,11783,52575,0,0
36984,11778,52556,0,0
36987,11784,52556,0,0
36996,11801,52571,0,0
37010,11823,52599,0,0
37027,11847,52638,0,0
37048,11871,52681,0,0
37072,11896,52721,0,0
37097,11919,52756,0,0
37117,11939,52783,0,0
37131,11950,52797,0,0
37135,11948,52792,0,0
37130,11934,52766,0,0
37113,11909,52720,0,0
37086,11871,52653,0,0
37048,11816,52567,0,0
36996,11749,52459,0,0
36932,11673,52332,0,0
36857,11585,52189,0,0
36770,11486,52032,0,0
36673,11376,51857,0,0
36565,11256,51667,0,0
36451,11131,51466,0,0
36334,11000,51256,0,0
36214,10867,51038,0,0
36092,10731,50812,0,0
35971,10591,50582,0,0
35853,10450,50350,0,0
35734,10308,50118,0,0
35615,10167,49886,0,0
35496,10026,49654,0,0
35373,9884,49424,0,0
35246,9740,49197,0,0
35118,9597,48974,0,0
34989,9456,48757,0,0
34863,9318,48546,0,0
34743,9185,48343,0,0
34628,9058,48148,0,0
34519,8935,47960,0,0
34416,8818,47779,0,0
34313,8704,47604,0,0
34213,8592,47433,0,0
34118,8484,47267,0,0
34028,8380,47104,0,0
33942,8277,46944,0,0
33856,8178,46787,0,0
33770,8086,46634,0,0
33688,8000,46487,0,0
33611,7920,46345,0,0
33540,7843,46209,0,0
33471,7769,46076,0,0
33400,7693,45943,0,0
33329,7613,45812,0,0
33257,7529,45680,0,0
33184,7444,45548,0,0
33109,7359,45414,0,0
33034,7272,45277,0,0
32958,7185,45140,0,0
32881,7097,45004,0,0
32805,7009,44870,0,0
32731,6921,44737,0,0
32655,6836,44603,0,0
32579,6754,44469,0,0
32501,6671,44336,0,0
32421,6585,44205,0,0
32342,6496,44074,0,0
32266,6409,43944,0,0
32190,6323,43810,0,0
32110,6234,43672,0,0
32028,6141,43528,0,0
31946,6047,43380,0,0
31864,5953,43227,0,0
31780,5858,43068,0,0
31692,5760,42904,0,0
31600,5661,42735,0,0
31505,5558,42558,0,0
31404,5449,42369,0,0
31296,5332,42170,0,0
31182,5209,41970,0,0
31065,5083,41770,0,0
30948,4958,41576,0,0
30839,4845,41398,0,0
30754,4760,41259,0,0
30711,4720,41190,0,0
30726,4747,41227,0,0
30824,4869,41412,0,0
31026,5110,41782,0,0
31348,5487,42365,0,0
31794,6004,43166,0,0
32357,6652,44171,0,0
33017,7405,45345,0,0
33747,8233,46638,0,0
34512,9101,47993,0,0
35279,9972,49352,0,0
36019,10811,50668,0,0
36709,11593,51898,0,0
37335,12298,53015,0,0
37888,12920,54005,0,0
38367,13453,54860,0,0
38769,13899,55582,0,0
39096,14258,56171,0,0
39350,14535,56635,0,0
39536,14737,56982,0,0
39659,14870,57222,0,0
39728,14945,57367,0,0
39751,14970,57426,0,0
39733,14950,57411,0,0
39682,14889,57335,0,0
39603,14793,57210,0,0
39502,14673,57044,0,0
39387,14536,56843,0,0
39264,14386,56618,0,0
39135,14229,56381,0,0
39008,14073,56144,0,0
38884,13923,55913,0,0
38765,13781,55692,0,0
38654,13653,55488,0,0
38555,13539,55305,0,0
38468,13441,55148,0,0
38394,13358,55014,0,0
38332,13294,54906,0,0
38285,13246,54822,0,0
38251,13212,54761,0,0
38226,13187,54715,0,0
38205,13168,54675,0,0
38185,13149,54634,0,0
38161,13126,54585,0,0
38131,13095,54522,0,0
38089,13050,54442,0,0
38035,12992,54343,0,0
37971,12921,54224,0,0
37901,12840,54088,0,0
37824,12751,53938,0,0
37740,12655,53780,0,0
37654,12559,53619,0,0
37569,12464,53460,0,0
37488,12369,53309,0,0
37413,12278,53171,0,0
37347,12199,53052,0,0
37293,12135,52956,0,0
37251,12089,52884,0,0
37223,12059,52837,0,0
37208,12044,52812,0,0
37205,12044,52806,0,0
37213,12054,52818,0,0
37230,12073,52845,0,0
37253,12102,52881,0,0
37280,12138,52923,0,0
37309,12174,52966,0,0
37333,12205,53006,0,0
37352,12230,53039,0,0
37364,12248,53058,0,0
37369,12256,53059,0,0
37363,12251,53041,0,0
37347,12232,53002,0,0
37317,12199,52942,0,0
37275,12149,52859,0,0
37220,12082,52754,0,0
37151,11997,52628,0,0
37073,11899,52481,0,0
36984,11789,52317,0,0
36884,11668,52134,0,0
36775,11537,51935,0,0
36656,11397,51722,0,0
36529,11252,51502,0,0
36398,11104,51274,0,0
36267,10954,51039,0,0
36135,10804,50801,0,0
36003,10652,50561,0,0
35870,10499,50320,0,0
35738,10346,50079,0,0
35606,10197,49843,0,0
35475,10052,49611,0,0
35342,9908,49383,0,0
35207,9765,49159,0,0
35076,9625,48940,0,0
34951,9492,48726,0,0
34832,9364,48518,0,0
34719,9241,48316,0,0
34613,9121,48122,0,0
34512,9004,47934,0,0
34416,8892,47753,0,0
34325,8785,47581,0,0
34240,8684,47418,0,0
34156,8587,47263,0,0
34073,8490,47113,0,0
33990,8395,46965,0,0
33910,8307,46822,0,0
33834,8227,46684,0,0
33763,8150,46548,0,0
33695,8075,46418,0,0
33630,8003,46293,0,0
33569,7932,46172,0,0
33508,7862,46054,0,0
33447,7791,45940,0,0
33385,7720,45829,0,0
33324,7648,45719,0,0
33260,7579,45608,0,0
33195,7511,45495,0,0
33130,7442,45383,0,0
33069,7371,45270,0,0
33008,7300,45155,0,0
32946,7230,45037,0,0
32881,7160,44917,0,0
32815,7087,44799,0,0
32746,7014,44682,0,0
32676,6939,44566,0,0
32607,6864,44447,0,0
32539,6788,44325,0,0
32471,6711,44198,0,0
32401,6631,44064,0,0
32328,6547,43927,0,0
32253,6457,43788,0,0
32178,6364,43648,0,0
32100,6271,43504,0,0
32017,6175,43355,0,0
31931,6079,43201,0,0
31842,5983,43045,0,0
31751,5888,42887,0,0
31661,5792,42730,0,0
31575,5699,42578,0,0
31499,5617,42444,0,0
31446,5560,42348,0,0
31430,5547,42320,0,0
31468,5600,42396,0,0
31587,5746,42616,0,0
31807,6005,43013,0,0
32139,6391,43607,0,0
32581,6906,44399,0,0
33125,7534,45370,0,0
33753,8257,46487,0,0
34436,9041,47701,0,0
35146,9851,48958,0,0
35853,10656,50209,0,0
36530,11431,51414,0,0
37160,12151,52540,0,0
37729,12798,53565,0,0
38230,13364,54473,0,0
38659,13845,55253,0,0
39018,14241,55903,0,0
39307,14555,56429,0,0
39528,14792,56838,0,0
39690,14961,57142,0,0
39798,15070,57349,0,0
39855,15123,57468,0,0
39868,15128,57503,0,0
39843,15090,57464,0,0
39782,15015,57362,0,0
39691,14906,57203,0,0
39577,14769,57000,0,0
39446,14612,56764,0,0
39303,14444,56511,0,0
39155,14273,56247,0,0
39008,14103,55981,0,0
38864,13939,55721,0,0
38726,13784,55473,0,0
38599,13645,55246,0,0
38487,13523,55042,0,0
38391,13419,54864,0,0
38311,13331,54712,0,0
38245,13258,54586,0,0
38193,13196,54483,0,0
38151,13146,54400,0,0
38113,13103,54331,0,0
38075,13061,54264,0,0
38034,13014,54193,0,0
37990,12962,54110,0,0
37941,12901,54012,0,0
37884,12830,53900,0,0
37820,12750,53777,0,0
37749,12663,53642,0,0
37675,12575,53500,0,0
37601,12486,53357,0,0
37527,12402,53217,0,0
37457,12324,53087,0,0
37394,12257,52970,0,0
37340,12201,52869,0,0
37296,12156,52788,0,0
37261,12122,52725,0,0
37236,12100,52681,0,0
37221,12089,52655,0,0
37217,12090,52642,0,0
37224,12098,52643,0,0
37237,12113,52658,0,0
37256,12133,52684,0,0
37281,12159,52718,0,0
37305,12187,52756,0,0
37325,12211,52789,0,0
37338,12227,52813,0,0
37343,12231,52824,0,0
37340,12224,52821,0,0
37329,12206,52800,0,0
37307,12179,52757,0,0
37273,12140,52695,0,0
37228,12089,52613,0,0
37172,12023,52511,0,0
37105,11943,52387,0,0
37028,11849,52244,0,0
36940,11742,52081,0,0
36840,11624,51902,0,0
36730,11495,51706,0,0
36612,11359,51496,0,0
36490,11217,51275,0,0
36366,11073,51048,0,0
36240,10932,50821,0,0
36113,10794,50594,0,0
35987,10658,50366,0,0
35863,10522,50138,0,0
35742,10388,49912,0,0
35625,10256,49692,0,0
35511,10126,49478,0,0
35397,9997,49271,0,0
35287,9873,49069,0,0
35182,9753,48872,0,0
35082,9635,48678,0,0
34987,9521,48490,0,0
34894,9411,48309,0,0
34804,9306,48135,0,0
34718,9206,47967,0,0
34636,9110,47804,0,0
34557,9018,47651,0,0
34480,8930,47506,0,0
34404,8846,47366,0,0
34328,8764,47229,0,0
34254,8687,47099,0,0
34183,8613,46974,0,0
34115,8543,46853,0,0
34049,8474,46735,0,0
33987,8406,46623,0,0
33929,8341,46514,0,0
33873,8276,46406,0,0
33820,8212,46298,0,0
33769,8150,46192,0,0
33719,8090,46090,0,0
33668,8033,45992,0,0
33619,7978,45895,0,0
33573,7925,45797,0,0
33526,7873,45700,0,0
33479,7821,45605,0,0
33431,7771,45511,0,0
33382,7720,45419,0,0
33333,7665,45330,0,0
33283,7605,45239,0,0
33233,7543,45144,0,0
33181,7476,45044,0,0
33124,7407,44942,0,0
33062,7334,44835,0,0
32995,7258,44719,0,0
32923,7176,44594,0,0
32846,7091,44462,0,0
32765,7000,44322,0,0
32678,6905,44173,0,0
32584,6807,44012,0,0
32485,6705,43842,0,0
32386,6600,43665,0,0
32287,6491,43484,0,0
32187,6378,43300,0,0
32086,6260,43112,0,0
31985,6142,42928,0,0
31891,6034,42759,0,0
31813,5946,42620,0,0
31765,5893,42533,0,0
31765,5897,42535,0,0
31832,5984,42664,0,0
31985,6177,42955,0,0
32243,6490,43437,0,0
32617,6931,44116,0,0
33101,7496,44983,0,0
33677,8165,46012,0,0
34319,8908,47157,0,0
35000,9694,48368,0,0
35690,10487,49595,0,0
36363,11257,50789,0,0
36998,11975,51916,0,0
37578,12627,52952,0,0
38096,13207,53880,0,0
38546,13708,54689,0,0
38925,14129,55376,0,0
39236,14473,55942,0,0
39482,14742,56393,0,0
39664,14935,56734,0,0
39789,15064,56971,0,0
39862,15136,57112,0,0
39889,15159,57170,0,0
39877,15140,57155,0,0
39831,15083,57076,0,0
39756,14995,56942,0,0
39659,14880,56767,0,0
39542,14743,56561,0,0
39411,14591,56331,0,0
39272,14431,56087,0,0
39132,14268,55837,0,0
38992,14107,55587,0,0
38854,13950,55340,0,0
38724,13801,55100,0,0
38606,13663,54872,0,0
38502,13539,54664,0,0
38411,13429,54482,0,0
38334,13335,54323,0,0
38268,13256,54189,0,0
38209,13190,54075,0,0
38154,13133,53973,0,0
38103,13078,53878,0,0
38052,13022,53785,0,0
37996,12957,53683,0,0
37935,12881,53566,0,0
37865,12793,53434,0,0
37783,12696,53287,0,0
37691,12591,53130,0,0
37595,12484,52969,0,0
37498,12380,52808,0,0
37406,12280,52654,0,0
37327,12191,52513,0,0
37263,12118,52394,0,0
37213,12064,52301,0,0
37178,12029,52237,0,0
37162,12015,52200,0,0
37163,12021,52189,0,0
37180,12045,52203,0,0
37211,12083,52241,0,0
37253,12133,52300,0,0
37304,12194,52378,0,0
37361,12259,52473,0,0
37419,12322,52575,0,0
37475,12385,52678,0,0
37527,12446,52772,0,0
37570,12498,52854,0,0
37602,12536,52918,0,0
37621,12557,52961,0,0
37628,12562,52981,0,0
37621,12553,52971,0,0
37602,12527,52934,0,0
37571,12483,52870,0,0
37528,12419,52782,0,0
37470,12340,52670,0,0
37397,12247,52533,0,0
37308,12143,52376,0,0
37206,12027,52199,0,0
37091,11898,52004,0,0
36966,11759,51792,0,0
36836,11611,51563,0,0
36701,11457,51324,0,0
36564,11300,51081,0,0
36425,11144,50837,0,0
36287,10989,50595,0,0
36151,10835,50356,0,0
36018,10683,50121,0,0
35890,10532,49890,0,0
35766,10384,49663,0,0
35648,10244,49443,0,0
35534,10109,49230,0,0
35422,9984,49026,0,0
35315,9866,48835,0,0
35212,9756,48656,0,0
35116,9653,48485,0,0
35025,9556,48322,0,0
34940,9465,48169,0,0
34861,9383,48024,0,0
34787,9305,47884,0,0
34719,9232,47751,0,0
34657,9162,47628,0,0
34600,9096,47516,0,0
34548,9038,47416,0,0
34501,8985,47328,0,0
34460,8937,47250,0,0
34422,8897,47182,0,0
34387,8863,47121,0,0
34356,8834,47067,0,0
34332,8807,47019,0,0
34310,8782,46971,0,0
34289,8757,46924,0,0
34269,8731,46878,0,0
34251,8710,46831,0,0
34233,8694,46781,0,0
34212,8678,46726,0,0
34189,8657,46666,0,0
34163,8628,46600,0,0
34134,8589,46526,0,0
34099,8544,46443,0,0
34057,8492,46350,0,0
34007,8432,46248,0,0
33951,8363,46136,0,0
33887,8287,46014,0,0
33815,8203,45883,0,0
33734,8112,45743,0,0
33647,8017,45595,0,0
